Team,Conference,Area,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Promotion
Cleveland Cavaliers*,Eastern,CentralDivision,82,242.4,39.9,84.9,0.47,13,33.9,0.384,26.9,51,0.528,17.5,23.3,0.748,9.4,34.4,43.8,22.7,6.6,4,13.7,18.1,110.3,1
Washington Wizards*,Eastern,SoutheastDivision,82,242.1,41.3,87,0.475,9.2,24.8,0.372,32.1,62.2,0.516,17.3,22.1,0.784,10.3,32.6,42.8,23.9,8.5,4.1,14.2,21.3,109.2,1
Boston Celtics*,Eastern,AtlanticDivision,82,240.9,38.6,85.1,0.454,12,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,1
Toronto Raptors*,Eastern,AtlanticDivision,82,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,1
Brooklyn Nets,Eastern,AtlanticDivision,82,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21,105.8,0
Indiana Pacers*,Eastern,CentralDivision,82,242.1,39.3,84.5,0.465,8.6,23,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9,33,42,22.5,8.2,5,13.8,19.5,105.1,1
Charlotte Hornets,Eastern,SoutheastDivision,82,241.8,37.7,85.4,0.442,10,28.6,0.351,27.7,56.8,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7,4.8,11.5,16.6,104.9,0
New York Knicks,Eastern,AtlanticDivision,82,242.1,39.6,88.4,0.447,8.6,24.6,0.348,31,63.8,0.486,16.6,21.1,0.788,12,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,0
Milwaukee Bucks*,Eastern,CentralDivision,82,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30,58.1,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6,1
Miami Heat,Eastern,SoutheastDivision,82,241.2,39,85.8,0.455,9.9,27,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33,43.6,21.2,7.1,5.7,13.4,20.5,103.2,0
Atlanta Hawks*,Eastern,SoutheastDivision,82,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.4,23.6,8.2,4.8,15.8,18.2,103.2,1
Chicago Bulls*,Eastern,CentralDivision,82,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31,64.8,0.479,18,22.5,0.798,12.2,34.1,46.3,22.6,7.9,4.8,13.5,17.7,102.9,1
Philadelphia 76ers,Eastern,AtlanticDivision,82,241.8,37.7,85.2,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17,22,0.771,9.8,33,42.8,23.8,8.4,5.1,16.7,21.9,102.4,0
Detroit Pistons,Eastern,CentralDivision,82,241.5,39.9,88.8,0.449,7.7,23.3,0.33,32.2,65.5,0.491,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7,3.8,11.9,17.9,101.3,0
Orlando Magic,Eastern,SoutheastDivision,82,241.5,38.3,87,0.44,8.5,26.1,0.328,29.7,60.9,0.488,16,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,0
