Age,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
26.7,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217,LeagueChampion
27.3,0.494,15.2,34.7,0.229,0.473,16,68.1,0.236,Promotion
26.9,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191,Promotion
26.6,0.499,16,32,0.227,0.458,15.9,67.5,0.235,Promotion
28.1,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228,Promotion
27.2,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228,Promotion
27.4,0.496,15.5,32.5,0.247,0.464,14.3,66.2,0.21,Promotion
25.2,0.494,18.7,36.8,0.227,0.481,18.9,68.8,0.251,Promotion
26.5,0.484,16.2,31.6,0.239,0.478,18.1,67.8,0.257,Promotion
25.5,0.488,15.4,33.3,0.26,0.49,16,67.9,0.218,Promotion
24.5,0.5,16.4,34.3,0.246,0.49,16.8,65.8,0.291,Phaseout
27.2,0.495,14,31,0.272,0.509,15.1,64.8,0.22,Promotion
25.8,0.473,16.6,30.4,0.206,0.471,16.2,68.6,0.214,Phaseout
24.6,0.481,15.1,33.6,0.253,0.496,15.4,66.2,0.214,Phaseout
24.2,0.489,13.5,34.8,0.245,0.506,14,66.2,0.228,Phaseout
26.6,0.472,15,30.7,0.222,0.473,15.2,65.1,0.223,Promotion
24.7,0.485,15.9,33.9,0.216,0.513,16.9,64.6,0.241,Phaseout
25.7,0.483,16.7,29,0.251,0.481,15.2,63.9,0.208,Phaseout
24.5,0.483,16.9,34,0.269,0.498,14.3,67.9,0.237,Phaseout
24.8,0.479,15.7,37.1,0.208,0.531,17.6,65.8,0.284,Phaseout
24.9,0.483,15.2,33.6,0.187,0.52,16.4,65.5,0.249,Phaseout
26.4,0.467,16.4,33,0.204,0.492,13.8,71.3,0.258,Phaseout
29,0.453,15.9,30.8,0.188,0.505,15.4,65.4,0.246,Phaseout
27.3,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22,Promotion
28.1,0.521,15.5,30.5,0.265,0.48,16.5,65,0.261,Promotion
27.3,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253,Promotion
26.8,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,LeagueChampion
26.4,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214,Promotion
26.4,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Promotion
26.1,0.49,13,34,0.238,0.487,13.7,68.8,0.256,Promotion
26,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228,Promotion
25.1,0.487,16.6,33.7,0.237,0.486,18.3,67,0.281,Promotion
26.5,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Promotion
25.1,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Phaseout
24.7,0.507,14.4,32.5,0.239,0.502,15,65.9,0.223,Phaseout
27,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,Promotion
28.3,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209,Promotion
24.4,0.485,16,34.8,0.262,0.512,16.4,66.9,0.224,Phaseout
27,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221,Phaseout
26.5,0.505,17.3,33.6,0.29,0.499,13.2,69,0.207,Phaseout
28,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255,Phaseout
24,0.497,15.5,29.9,0.213,0.504,16.5,66,0.287,Phaseout
24.4,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266,Phaseout
24.8,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244,Phaseout
25.4,0.507,16.2,33.2,0.238,0.529,13.9,68,0.28,Phaseout
26.1,0.466,13.7,32,0.222,0.515,14.7,65.9,0.271,Phaseout
27.2,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252,Promotion
26.6,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28,Promotion
27,0.509,16.2,34.7,0.251,0.464,15.1,67,0.24,LeagueChampion
25.7,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244,Promotion
27,0.513,15.8,33.9,0.209,0.468,14.6,64.4,0.208,Promotion
26.5,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232,Promotion
26.7,0.492,15.4,37.5,0.282,0.475,14.1,68,0.233,Promotion
25.1,0.487,15,31.6,0.246,0.504,17.2,65.8,0.22,Promotion
26,0.484,15.1,35.5,0.251,0.492,17,64.5,0.248,Promotion
25.7,0.498,15.2,33.9,0.209,0.49,15.8,65.7,0.246,Promotion
28.6,0.476,14.4,30.5,0.199,0.472,14.3,67.8,0.212,Phaseout
26.8,0.489,14.9,33.9,0.233,0.496,14.7,66.6,0.214,Promotion
26.2,0.503,15.1,29.2,0.22,0.483,15.6,68.3,0.265,Promotion
26.8,0.477,13.4,33.1,0.3,0.509,14.6,65.4,0.232,Phaseout
24.4,0.493,15.6,38.8,0.251,0.507,14.4,67.5,0.25,Phaseout
27.6,0.486,14.5,33,0.227,0.507,16.2,66.3,0.262,Phaseout
26.8,0.47,15.7,33.1,0.254,0.468,13.8,66.1,0.232,Phaseout
26.8,0.48,16.7,34.1,0.293,0.498,17.3,64.8,0.295,Phaseout
25.7,0.472,14.2,33.5,0.195,0.507,15.2,66,0.251,Phaseout
25.2,0.478,16.6,30.4,0.243,0.506,16.4,69.2,0.281,Phaseout
24.3,0.464,18,33.4,0.242,0.512,18.6,65.9,0.242,Phaseout
25.1,0.491,15.5,28.3,0.234,0.492,13.8,66.8,0.268,Phaseout
24.8,0.466,15.2,30.7,0.27,0.516,15.1,65,0.245,Phaseout
27.3,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.234,Promotion
26.2,0.53,16.5,32.6,0.22,0.475,14,66.9,0.181,LeagueChampion
27,0.474,14.9,36.4,0.229,0.463,15.4,67.9,0.221,Promotion
27,0.494,17.2,33.5,0.262,0.46,15.5,66.7,0.217,Promotion
25.3,0.491,15,35.2,0.212,0.467,16.2,63.8,0.229,Promotion
26.5,0.498,16.4,30.4,0.263,0.483,16.5,66.9,0.213,Promotion
26.1,0.465,15.4,36.9,0.29,0.461,17.1,65.6,0.291,Promotion
25.5,0.48,14.5,31,0.223,0.479,17.9,68.1,0.273,Promotion
27.4,0.476,13.2,33.1,0.212,0.505,16.3,65.9,0.216,Phaseout
27.3,0.487,15.5,37.6,0.238,0.499,16.1,63.2,0.23,Promotion
26.9,0.502,15.2,31.8,0.262,0.506,14.4,66.8,0.216,Promotion
25.3,0.479,14.8,35.4,0.228,0.493,17,62.5,0.23,Phaseout
26.3,0.477,16.1,35.5,0.218,0.482,15.3,67.9,0.245,Promotion
24.1,0.498,15.7,33.7,0.221,0.498,16.4,64,0.263,Phaseout
26.1,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Phaseout
29,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Promotion
25.9,0.489,17.2,32.2,0.291,0.5,15.7,68,0.251,Phaseout
27.6,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,Phaseout
26.3,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Phaseout
27.1,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,Phaseout
25.9,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Phaseout
24.7,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Phaseout
