Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
Milwaukee Bucks*,25.7,59,23,58,24,6.85,-0.16,6.69,110.5,103.6,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29,Promotion
Los Angeles Lakers*,27.4,62,20,58,24,7.35,-0.87,6.48,114.1,107,103.2,0.308,0.041,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,LeagueChampion
Boston Celtics*,28.5,63,19,57,25,6.65,-0.18,6.47,112.8,106.3,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198,Promotion
Philadelphia 76ers*,27.9,58,24,51,31,4.1,0.07,4.17,111.3,107.3,100.8,0.412,0.032,0.561,0.497,16,37.4,0.331,0.494,15.7,66.6,0.259,Promotion
Portland Trail Blazers*,25.2,42,40,49,33,3.4,-0.6,2.8,110.4,107.2,103.5,0.362,0.027,0.554,0.506,14.8,34,0.271,0.497,15.9,64.4,0.232,Promotion
Detroit Pistons*,26.9,46,36,47,35,2.49,0.24,2.73,109.6,107.2,105,0.283,0.025,0.529,0.483,13,35.4,0.223,0.501,14.9,69.6,0.245,Promotion
Denver Nuggets*,28.3,52,30,47,35,2.44,-0.39,2.05,110.7,108.4,107.6,0.322,0.029,0.54,0.491,13.2,33.6,0.253,0.516,17,66.1,0.275,Promotion
Dallas Mavericks*,25,44,38,47,35,2.17,-0.37,1.8,111.5,109.3,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Promotion
Houston Rockets*,25.3,48,34,45,37,1.72,-0.34,1.38,107.9,106.3,102.2,0.304,0.025,0.54,0.507,16,37.4,0.213,0.487,15.2,67.4,0.259,Promotion
New Jersey Nets*,26.5,42,40,42,40,0.23,0.41,0.64,107.9,107.7,101,0.3,0.03,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263,Promotion
San Antonio Spurs*,28.1,41,41,43,39,0.91,-0.29,0.63,109.9,109,103.9,0.357,0.028,0.565,0.517,15.6,33.2,0.272,0.501,15,68.5,0.269,Promotion
Washington Bullets*,27.1,40,42,40,42,-0.27,0.42,0.15,104.3,104.6,100.3,0.269,0.054,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226,Promotion
Utah Jazz*,26.9,41,41,41,41,-0.11,-0.22,-0.33,103.3,103.4,105.1,0.333,0.042,0.534,0.483,15.8,29,0.257,0.469,15.7,65.3,0.238,Promotion
Chicago Bulls*,25.2,38,44,39,43,-0.84,0.34,-0.5,108.7,109.6,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,Promotion
Atlanta Hawks,25.5,34,48,37,45,-1.45,0.31,-1.14,105.9,107.3,99.8,0.333,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249,Phaseout
Cleveland Cavaliers*,26.6,36,46,34,48,-2.76,0.48,-2.27,106,108.7,101.9,0.338,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,Promotion
Phoenix Suns*,26.4,36,46,35,47,-2.11,-0.23,-2.34,104.7,106.8,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15,68.3,0.24,Promotion
Kansas City Kings,26.1,31,51,34,48,-2.67,-0.04,-2.71,109.5,112.1,104.4,0.357,0.033,0.559,0.508,15.9,34,0.278,0.514,14.2,66.6,0.262,Phaseout
New York Knicks,25.8,24,58,29,53,-4.63,0.54,-4.09,104.9,109.6,99.5,0.331,0.028,0.53,0.487,15.2,31.7,0.24,0.499,16.5,63.3,0.339,Phaseout
Los Angeles Clippers,27.3,31,51,30,52,-4.49,-0.07,-4.55,105.8,110.3,100.9,0.31,0.026,0.543,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21,Phaseout
Seattle SuperSonics,26.4,31,51,27,55,-5.44,0,-5.44,102.8,108.2,99.3,0.334,0.027,0.529,0.477,15.9,30,0.257,0.498,14.6,67.3,0.238,Phaseout
Indiana Pacers,24.1,22,60,26,56,-6.21,0.75,-5.46,102.5,108.4,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282,Phaseout
Golden State Warriors,26.1,22,60,24,58,-7.34,0.13,-7.21,106,113,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66,0.268,Phaseout
